Intel® Product Specification Comparison
08/27/2026 11:49:00 AM
 ,Intel Atom® Processor C2316 ,Intel Atom® Processor C2516 ,Intel Atom® Processor P5362 ,Intel Atom® Processor P5352 ,Intel Atom® Processor P5342 ,Intel Atom® Processor P5332 ,Intel Atom® Processor P5322 ,Intel Atom® Processor C5325 ,Intel Atom® Processor C5320 ,Intel Atom® Processor C5315 ,Intel Atom® Processor C5310 ,Intel Atom® Processor C5125 ,Intel Atom® Processor C5115 ,Intel Atom® Processor C3336 ,Intel Atom® Processor P5931B ,Intel Atom® Processor P5962B ,Intel Atom® Processor P5921B ,Intel Atom® Processor P5942B ,Intel Atom® Processor C3338R ,Intel Atom® Processor C3758R ,Intel Atom® Processor C3558R ,Intel Atom® Processor C3436L ,Intel Atom® x6425RE Processor ,Intel Atom® x6427FE Processor ,Intel Atom® x6414RE Processor ,Intel Atom® x6212RE Processor ,Intel Atom® x6200FE Processor ,Intel Atom® x6211E Processor ,Intel Atom® x6425E Processor ,Intel Atom® x6413E Processor ,Intel Atom® Processor P5742 ,Intel Atom® Processor P5721 ,Intel Atom® Processor P5752 ,Intel Atom® Processor P5731 ,Intel Atom® x6416RE Processor ,Intel Atom® x6214RE Processor ,Intel Atom® x7213E Processor ,Intel Atom® x7211E Processor ,Intel Atom® x7425E Processor ,Intel Atom® x7809C Processor ,Intel Atom® x7405C Processor ,Intel Atom® x7213RE Processor ,Intel Atom® x7433RE Processor ,Intel Atom® x7835RE Processor ,Intel Atom® x7203C Processor ,Intel Atom® x7211RE Processor ,Intel Atom® Processor C5335C1 ,Intel Atom® P6952-3 Processor ,Intel Atom® P6942-3 Processor ,Intel Atom® P6962-3 Processor ,Intel Atom® P6962-5 Processor ,Intel Atom® x7835FE Processor ,Intel Atom® x7433FE Processor ,Intel Atom® P6942-5 Processor ,Intel Atom® P6922-3 Processor ,Intel Atom® Processor C2338 ,Intel Atom® Processor C2350 ,Intel Atom® Processor C2358 ,Intel Atom® Processor C2518 ,Intel Atom® Processor C2530 ,Intel Atom® Processor C2538 ,Intel Atom® Processor C2550 ,Intel Atom® Processor C2558 ,Intel Atom® Processor C2718 ,Intel Atom® Processor C2730 ,Intel Atom® Processor C2738 ,Intel Atom® Processor C2750 ,Intel Atom® Processor C2758 ,Intel Atom® Processor C2508 ,Intel Atom® Processor C2308 ,Intel Atom® x5-Z8500 Processor ,Intel Atom® x7-Z8700 Processor ,Intel Atom® x5-Z8300 Processor ,Intel Atom® x3-C3445 Processor ,Intel Atom® x3-C3230RK Processor ,Intel Atom® x3-C3405 Processor ,Intel Atom® x3-C3200RK Processor ,Intel Atom® x5-Z8330 Processor ,Intel Atom® x5-E8000 Processor ,Intel Atom® x5-Z8550 Processor ,Intel Atom® x5-Z8350 Processor ,Intel Atom® x7-Z8750 Processor ,Intel Atom® x3-C3235RK Processor ,Intel Atom® x3-C3205RK Processor ,Intel Atom® x5-E3940 Processor ,Intel Atom® x5-E3930 Processor ,Intel Atom® x7-E3950 Processor ,Intel Atom® x3-C3265RK Processor ,Intel Atom® x3-C3295RK Processor ,Intel Atom® Processor C3758 ,Intel Atom® Processor C3958 ,Intel Atom® Processor C3338 ,Intel Atom® Processor C3538 ,Intel Atom® Processor C3508 ,Intel Atom® Processor C3830 ,Intel Atom® Processor C3850 ,Intel Atom® Processor C3955 ,Intel Atom® Processor C3708 ,Intel Atom® Processor C3308 ,Intel Atom® Processor C3858 ,Intel Atom® Processor C3558 ,Intel Atom® Processor C3750 ,Intel Atom® Processor C3808 ,Intel Atom® Processor C3950
Processor Base Frequency,1.50 GHz,1.40 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.40 GHz,2.40 GHz,2.40 GHz,1.60 GHz,2.80 GHz,2.80 GHz,1.50 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,1.80 GHz,2.40 GHz,2.40 GHz,1.30 GHz,1.90 GHz,1.90 GHz,1.50 GHz,1.20 GHz,1.00 GHz,1.30 GHz,2.00 GHz,1.50 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,1.70 GHz,1.40 GHz,,,,,,,,,,,2.4 GHz,2.2 GHz,2.2 GHz,2.2 GHz,2.6 GHz,,,2.6 GHz,2.2 GHz,1.70 GHz,1.70 GHz,1.70 GHz,1.70 GHz,1.70 GHz,2.40 GHz,2.40 GHz,2.40 GHz,2.00 GHz,1.70 GHz,2.40 GHz,2.40 GHz,2.40 GHz,1.25 GHz,1.25 GHz,1.44 GHz,1.60 GHz,1.44 GHz,1.20 GHz,,1.20 GHz,,1.44 GHz,1.04 GHz,1.44 GHz,1.44 GHz,1.60 GHz,,,1.60 GHz,1.30 GHz,1.60 GHz,,,2.20 GHz,2.00 GHz,1.50 GHz,2.10 GHz,1.60 GHz,1.90 GHz,2.10 GHz,2.10 GHz,1.70 GHz,1.60 GHz,2.00 GHz,2.20 GHz,2.20 GHz,2.00 GHz,1.70 GHz
Cache,1 MB,2 MB,27 MB,22.5 MB,18 MB,13.5 MB,9 MB,9 MB,9 MB,9 MB,9 MB,9 MB,9 MB,4 MB,13.5 MB L2 Cache,27 MB L2 Cache,9 MB L2 Cache,18 MB L2 Cache,4 MB,16 MB,8 MB,8 MB,1.5 MB L2 Cache,1.5 MB L2 Cache,1.5 MB L2 Cache,1.5 MB L2 Cache,1.5 MB,1.5 MB L2 Cache,1.5 MB L2 Cache,1.5 MB L2 Cache,18 MB,9 MB,22.5 MB,13.5 MB,1.5 MB L2 Cache,1.5 MB L2 Cache,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB,13.5 MB,20 MB,16 MB,24 MB,24 MB,6 MB,6 MB,16 MB,8 MB,1 MB,1 MB,1 MB,2 MB,2 MB,2 MB,2 MB,2 MB,4 MB,4 MB,4 MB,4 MB,4 MB,2 MB,1 MB,2 MB,2 MB,2 MB,1 MB,1 MB,1 MB,1 MB,2 MB L2 Cache,2 MB,2 MB,2 MB,2 MB,1 MB,1 MB,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,16 MB,16 MB,4 MB,8 MB,8 MB,12 MB,12 MB,16 MB,16 MB,4 MB,12 MB,8 MB,16 MB,12 MB,16 MB
TDP,7 W,10 W,83 W,78 W,71 W,61 W,55 W,41 W,41 W,38 W,32 W,50 W,43 W,11 W,,,,,10.5 W,26 W,17 W,10.75 W,12 W,12 W,9 W,6 W,4.5 W,6 W,12 W,9 W,67 W,48 W,74.5 W,54.5 W,9 W,6 W,10 W,6 W,12 W,25 W,12 W,9 W,9 W,12 W,9 W,6 W,50 W,74 W,66 W,82 W,86 W,12 W,9 W,70 W,50 W,7 W,6 W,7 W,13 W,9 W,15 W,14 W,15 W,18 W,12 W,20 W,20 W,20 W,9.5 W,6 W,,,,,,,,,5 W,,,,,,9.5 W,6.5 W,12 W,,,25 W,31 W,8.5 W,15 W,11.5 W,21.5 W,25 W,32 W,17 W,9.5 W,25 W,16 W,21 W,25 W,24 W
# of Efficiency-cores,,,24,20,16,12,8,8,8,4,4,8,4,,,,,,,,,,,,,,,,,,16,8,20,12,,,,,,,,,,,,,12,20,16,24,24,,,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of UPI Links,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
# of QPI Links,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Turbo Frequency,,,,,,,,,,,,,,,,,,,2.20 GHz,,,,,,,,,,,,,,,,,,3.20 GHz,3.20 GHz,3.40 GHz,3.6 GHz,3.4 GHz,3.4 GHz,3.4 GHz,3.6 GHz,3.2 GHz,3.2 GHz,,,,,,3.6 GHz,3.4 GHz,,,2.00 GHz,2.00 GHz,2.00 GHz,,2.40 GHz,,2.60 GHz,,,2.40 GHz,,2.60 GHz,,,,,,,,,,,,,,,,,,,,,,,2.20 GHz,2.00 GHz,2.20 GHz,2.10 GHz,1.60 GHz,2.30 GHz,2.40 GHz,2.40 GHz,1.70 GHz,2.10 GHz,2.00 GHz,2.20 GHz,2.40 GHz,2.00 GHz,2.20 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,,,,,,,,,,,,2.20 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 GHz,2.00 GHz,2.00 GHz,,2.40 GHz,,2.60 GHz,,,2.40 GHz,,2.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,2.20 GHz,,,2.30 GHz,2.40 GHz,2.40 GHz,,2.10 GHz,,,2.40 GHz,,2.20 GHz
Burst Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GHz,3.00 GHz,3.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24 GHz,2.40 GHz,1.84 GHz,1.40 GHz,1.10 GHz,1.40 GHz,1.10 GHz,1.92 GHz,,2.40 GHz,1.92 GHz,2.56 GHz,1.20 GHz,1.20 GHz,1.80 GHz,1.80 GHz,2.00 GHz,,,,,,,,,,,,,,,,,
AI Datatype Support on CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Int8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Software Frameworks Supported by CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenVINO™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total L2 Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 MB,16 MB,24 MB,24 MB,,,16 MB,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Design Power (SDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74 W,66 W,82 W,86 W,,,70 W,50 W,,,,,,,,,,,,,,,,2 W,2 W,2 W,2 W,2 W,2 W,2 W,2 W,,2 W,2 W,2 W,2 W,2 W,,,,2 W,2 W,,,,,,,,,,,,,,,
Bus Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000 GT/s,0.000 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Launched,Launched,Discontinued,Launched,Discontinued,Launched,Launched,Discontinued,Launched,Discontinued,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Announced,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q3'17,Q3'17,Q2'22,Q2'22,Q2'22,Q2'22,Q2'22,Q2'22,Q2'22,Q2'22,Q2'22,Q2'22,Q2'22,Q3'18,Q1'20,Q1'20,Q1'20,Q1'20,Q2'20,Q2'20,Q2'20,Q2'20,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q2'22,Q2'22,Q2'22,Q2'22,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'22,Q1'26,Q1'26,Q1'26,Q1'26,Q3'25,Q3'25,Q1'26,Q1'26,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q2'14,Q2'14,Q1'15,Q1'15,Q2'15,Q1'15,Q1'15,Q1'15,Q1'15,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q4'15,Q4'16,Q4'16,Q4'16,Q4'16,Q4'16,Q4'16,Q3'17,Q3'17,Q1'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17
Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,,,,,,,,,,,,ESU Notification Issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,,,,,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,,,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,,,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued
End of Servicing Updates Date,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,,,,,,,,,,,,Monday |  June 30 |  2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,,,,,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,,,Saturday |  September 30 |  2023,Saturday |  September 30 |  2023,Saturday |  September 30 |  2023,,,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025,Monday |  June 30 |  2025
Embedded Options Available,Yes,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,Yes,Yes,,,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
