Intel® Product Specification Comparison
09/10/2026 12:23:16 PM
 ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H
# of Efficient-cores,16,12,8,8,16,4,8,8,0,16,4,16,0,8,8,8,8,8,8,8,8,4,8,4,12,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,12,0,0,0,0,0,0,0,8,16,12,8,8,16,4,8,8,0,16,4,16,0,8,8,8,8,8,8,8,8,4,8,4,12,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,12,0,0,0,0,0,0,0,8
# of Low Power Efficient-cores,0,0,0,0,0,,,,,,,,,0,0,2,4,4,4,4,4,4,4,4,0,0,0,4,,,4,,4,,4,,4,,,,,4,,,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,,,,,,,,,0,0,2,4,4,4,4,4,4,4,4,0,0,0,4,,,4,,4,,4,,4,,,,,4,,,0,0,0,4,4,4,4,4,4,4,4
Total Threads,24,20,14,14,24,16,20,20,8,32,16,32,8,14,14,12,16,16,16,16,16,12,16,12,18,24,18,8,16,16,6,24,6,24,8,16,8,20,24,20,16,8,16,20,18,24,20,6,6,6,6,6,5,6,16,24,20,14,14,24,16,20,20,8,32,16,32,8,14,14,12,16,16,16,16,16,12,16,12,18,24,18,8,16,16,6,24,6,24,8,16,8,20,24,20,16,8,16,20,18,24,20,6,6,6,6,6,5,6,16
Max Turbo Frequency,5.4 GHz,5.3 GHz,5.1 GHz,5.1 GHz,5.5 GHz,4.9 GHz,5.2 GHz,5 GHz,4.6 GHz,5.4 GHz,4.8 GHz,5.6 GHz,4.8 GHz,5 GHz,5 GHz,4.9 GHz,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,5.3 GHz,5.5 GHz,5.3 GHz,4.8 GHz,5.5 GHz,5.2 GHz,4.4 GHz,5.7 GHz,4.4 GHz,5.5 GHz,4.5 GHz,5.4 GHz,4.7 GHz,5.4 GHz,5.9 GHz,5.5 GHz,5.2 GHz,4.6 GHz,5.4 GHz,5.7 GHz,5.1 GHz,5.5 GHz,5.3 GHz,4.8 GHz,4.6 GHz,4.8 GHz,4.6 GHz,4.3 GHz,4.3 GHz,4.4 GHz,5 GHz,5.4 GHz,5.3 GHz,5.1 GHz,5.1 GHz,5.5 GHz,4.9 GHz,5.2 GHz,5 GHz,4.6 GHz,5.4 GHz,4.8 GHz,5.6 GHz,4.8 GHz,5 GHz,5 GHz,4.9 GHz,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,5.3 GHz,5.5 GHz,5.3 GHz,4.8 GHz,5.5 GHz,5.2 GHz,4.4 GHz,5.7 GHz,4.4 GHz,5.5 GHz,4.5 GHz,5.4 GHz,4.7 GHz,5.4 GHz,5.9 GHz,5.5 GHz,5.2 GHz,4.6 GHz,5.4 GHz,5.7 GHz,5.1 GHz,5.5 GHz,5.3 GHz,4.8 GHz,4.6 GHz,4.8 GHz,4.6 GHz,4.3 GHz,4.3 GHz,4.4 GHz,5 GHz
Performance-core Max Turbo Frequency,5.4 GHz,5.3 GHz,5.1 GHz,5.1 GHz,5.5 GHz,4.9 GHz,5.2 GHz,5 GHz,4.6 GHz,5.3 GHz,4.8 GHz,5.5 GHz,4.8 GHz,5 GHz,5 GHz,4.9 GHz,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,5.3 GHz,5.4 GHz,5.3 GHz,4.8 GHz,5.3 GHz,5.2 GHz,4.4 GHz,5.4 GHz,4.4 GHz,5.3 GHz,4.5 GHz,5.4 GHz,4.7 GHz,5.2 GHz,5.5 GHz,5.3 GHz,5.2 GHz,4.6 GHz,5.4 GHz,5.5 GHz,5.1 GHz,5.5 GHz,5.3 GHz,4.8 GHz,4.6 GHz,4.8 GHz,4.6 GHz,4.3 GHz,4.3 GHz,4.4 GHz,5 GHz,5.4 GHz,5.3 GHz,5.1 GHz,5.1 GHz,5.5 GHz,4.9 GHz,5.2 GHz,5 GHz,4.6 GHz,5.3 GHz,4.8 GHz,5.5 GHz,4.8 GHz,5 GHz,5 GHz,4.9 GHz,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,5.3 GHz,5.4 GHz,5.3 GHz,4.8 GHz,5.3 GHz,5.2 GHz,4.4 GHz,5.4 GHz,4.4 GHz,5.3 GHz,4.5 GHz,5.4 GHz,4.7 GHz,5.2 GHz,5.5 GHz,5.3 GHz,5.2 GHz,4.6 GHz,5.4 GHz,5.5 GHz,5.1 GHz,5.5 GHz,5.3 GHz,4.8 GHz,4.6 GHz,4.8 GHz,4.6 GHz,4.3 GHz,4.3 GHz,4.4 GHz,5 GHz
Efficient-core Max Turbo Frequency,4.6 GHz,4.6 GHz,4.5 GHz,4.5 GHz,4.6 GHz,3.7 GHz,3.9 GHz,3.6 GHz,,3.9 GHz,3.4 GHz,4.4 GHz,,4.4 GHz,4.4 GHz,4.1 GHz,3.8 GHz,3.8 GHz,3.5 GHz,3.7 GHz,3.6 GHz,3.4 GHz,3.5 GHz,3.4 GHz,4.6 GHz,4.7 GHz,4.6 GHz,,,,,,,,,,,,,,,,,,4.5 GHz,4.7 GHz,4.7 GHz,,,,,,,,3.8 GHz,4.6 GHz,4.6 GHz,4.5 GHz,4.5 GHz,4.6 GHz,3.7 GHz,3.9 GHz,3.6 GHz,,3.9 GHz,3.4 GHz,4.4 GHz,,4.4 GHz,4.4 GHz,4.1 GHz,3.8 GHz,3.8 GHz,3.5 GHz,3.7 GHz,3.6 GHz,3.4 GHz,3.5 GHz,3.4 GHz,4.6 GHz,4.7 GHz,4.6 GHz,,,,,,,,,,,,,,,,,,4.5 GHz,4.7 GHz,4.7 GHz,,,,,,,,3.8 GHz
Performance-core Base Frequency,2.7 GHz,2.6 GHz,3.1 GHz,2.9 GHz,2.8 GHz,2.7 GHz,2.7 GHz,1.8 GHz,2.9 GHz,1.4 GHz,1.7 GHz,2.1 GHz,3.6 GHz,2.2 GHz,3.4 GHz,2.0 GHz,2 GHz,2.1 GHz,1.9 GHz,2.1 GHz,2 GHz,1.9 GHz,1.9 GHz,1.9 GHz,4.2 GHz,3.7 GHz,4.2 GHz,2.4 GHz,4 GHz,2.7 GHz,2.5 GHz,2.3 GHz,2.5 GHz,1.4 GHz,2.1 GHz,2.3 GHz,2.3 GHz,1.8 GHz,3.4 GHz,2.5 GHz,2.1 GHz,2.2 GHz,2.9 GHz,3.5 GHz,2.9 GHz,2.7 GHz,2.4 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,2 GHz,2.7 GHz,2.6 GHz,3.1 GHz,2.9 GHz,2.8 GHz,2.7 GHz,2.7 GHz,1.8 GHz,2.9 GHz,1.4 GHz,1.7 GHz,2.1 GHz,3.6 GHz,2.2 GHz,3.4 GHz,2.0 GHz,2 GHz,2.1 GHz,1.9 GHz,2.1 GHz,2 GHz,1.9 GHz,1.9 GHz,1.9 GHz,4.2 GHz,3.7 GHz,4.2 GHz,2.4 GHz,4 GHz,2.7 GHz,2.5 GHz,2.3 GHz,2.5 GHz,1.4 GHz,2.1 GHz,2.3 GHz,2.3 GHz,1.8 GHz,3.4 GHz,2.5 GHz,2.1 GHz,2.2 GHz,2.9 GHz,3.5 GHz,2.9 GHz,2.7 GHz,2.4 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,2 GHz
Efficient-core Base Frequency,2.1 GHz,2.3 GHz,2.6 GHz,2.6 GHz,2.1 GHz,2 GHz,2.1 GHz,1.3 GHz,,1 GHz,1.3 GHz,1.6 GHz,,1.6 GHz,2.9 GHz,1.6 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.5 GHz,1.5 GHz,3.3 GHz,3.2 GHz,3.3 GHz,1.8 GHz,,,1.9 GHz,,1.9 GHz,,1.6 GHz,,1.7 GHz,,,,,1.6 GHz,,,2.5 GHz,1.8 GHz,1.8 GHz,,,,,,,,1.6 GHz,2.1 GHz,2.3 GHz,2.6 GHz,2.6 GHz,2.1 GHz,2 GHz,2.1 GHz,1.3 GHz,,1 GHz,1.3 GHz,1.6 GHz,,1.6 GHz,2.9 GHz,1.6 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.5 GHz,1.5 GHz,3.3 GHz,3.2 GHz,3.3 GHz,1.8 GHz,,,1.9 GHz,,1.9 GHz,,1.6 GHz,,1.7 GHz,,,,,1.6 GHz,,,2.5 GHz,1.8 GHz,1.8 GHz,,,,,,,,1.6 GHz
Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,20 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,33 MB Intel® Smart Cache,36 MB Intel® Smart Cache,33 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,33 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,18 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,20 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,33 MB Intel® Smart Cache,36 MB Intel® Smart Cache,33 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,33 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,18 MB Intel® Smart Cache
Total L2 Cache,40 MB,36 MB,26 MB,26 MB,40 MB,,,,,,,,,26 MB,26 MB,,,,,,,,,,30 MB,40 MB,30 MB,,,,,,,,,,,,,,,,,,30 MB,40 MB,36 MB,,,,,,,,,40 MB,36 MB,26 MB,26 MB,40 MB,,,,,,,,,26 MB,26 MB,,,,,,,,,,30 MB,40 MB,30 MB,,,,,,,,,,,,,,,,,,30 MB,40 MB,36 MB,,,,,,,,
Processor Base Power,55 W,55 W,55 W,55 W,55 W,65 W,65 W,45 W,45 W,45 W,45 W,65 W,60 W,35 W,65 W,15 W,25 W,25 W,25 W,25 W,25 W,25 W,25 W,25 W,125 W,125 W,125 W,25 W,125 W,65 W,25 W,65 W,25 W,45 W,25 W,45 W,25 W,45 W,125 W,65 W,45 W,25 W,65 W,125 W,55 W,55 W,55 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,25 W,55 W,55 W,55 W,55 W,55 W,65 W,65 W,45 W,45 W,45 W,45 W,65 W,60 W,35 W,65 W,15 W,25 W,25 W,25 W,25 W,25 W,25 W,25 W,25 W,125 W,125 W,125 W,25 W,125 W,65 W,25 W,65 W,25 W,45 W,25 W,45 W,25 W,45 W,125 W,65 W,45 W,25 W,65 W,125 W,55 W,55 W,55 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,25 W
Maximum Turbo Power,160 W,160 W,160 W,160 W,160 W,,,,,,,,,114 W,121 W,57 W,80 W,80 W,80 W,80 W,80 W,65 W,80 W,65 W,159 W,250 W,159 W,55 W,,,55 W,,55 W,,55 W,,55 W,,,,,55 W,,,160 W,160 W,160 W,35 W,35 W,35 W,35 W,35 W,35 W,35 W,80 W,160 W,160 W,160 W,160 W,160 W,,,,,,,,,114 W,121 W,57 W,80 W,80 W,80 W,80 W,80 W,65 W,80 W,65 W,159 W,250 W,159 W,55 W,,,55 W,,55 W,,55 W,,55 W,,,,,55 W,,,160 W,160 W,160 W,35 W,35 W,35 W,35 W,35 W,35 W,35 W,80 W
Minimum Assured Power,45 W,45 W,45 W,45 W,45 W,,,,,,,,,,,12 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,,,,12 W,,,12 W,,12 W,,12 W,,12 W,,,,,12 W,,,45 W,45 W,45 W,10 W,10 W,10 W,10 W,10 W,10 W,10 W,15 W,45 W,45 W,45 W,45 W,45 W,,,,,,,,,,,12 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,,,,12 W,,,12 W,,12 W,,12 W,,12 W,,,,,12 W,,,45 W,45 W,45 W,10 W,10 W,10 W,10 W,10 W,10 W,10 W,15 W
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AI Software Frameworks Supported by CPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN | ,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN | ,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN
CPU Lithography,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,,,,,,,,,TSMC N3B,TSMC N3B,Intel 3,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,TSMC N3B,TSMC N3B,TSMC N3B,Intel 18A,Intel 7,Intel 7,Intel 18A,Intel 7,Intel 18A,Intel 7,Intel 18A,Intel 7,Intel 18A,Intel 7,Intel 7,Intel 7,Intel 7,Intel 18A,Intel 7,Intel 7,TSMC N3B,TSMC N3B,TSMC N3B,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,,,,,,,,,TSMC N3B,TSMC N3B,Intel 3,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,TSMC N3B,TSMC N3B,TSMC N3B,Intel 18A,Intel 7,Intel 7,Intel 18A,Intel 7,Intel 18A,Intel 7,Intel 18A,Intel 7,Intel 18A,Intel 7,Intel 7,Intel 7,Intel 7,Intel 18A,Intel 7,Intel 7,TSMC N3B,TSMC N3B,TSMC N3B,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A
Intel® Thermal Velocity Boost Frequency,,,,,,4.9 GHz,5.2 GHz,5 GHz,4.6 GHz,5.4 GHz,4.8 GHz,5.6 GHz,4.8 GHz,,,,,,,,,,,,,,,,5.5 GHz,5.2 GHz,,5.7 GHz,,5.5 GHz,,5.4 GHz,,5.4 GHz,5.9 GHz,5.5 GHz,5.2 GHz,,5.4 GHz,5.7 GHz,,,,,,,,,,,,,,,,,4.9 GHz,5.2 GHz,5 GHz,4.6 GHz,5.4 GHz,4.8 GHz,5.6 GHz,4.8 GHz,,,,,,,,,,,,,,,,5.5 GHz,5.2 GHz,,5.7 GHz,,5.5 GHz,,5.4 GHz,,5.4 GHz,5.9 GHz,5.5 GHz,5.2 GHz,,5.4 GHz,5.7 GHz,,,,,,,,,,,
