Intel® Product Specification Comparison
08/27/2026 11:07:26 AM
 ,Intel® Core™ Ultra 7 Processor 155H ,Intel® Core™ Ultra 5 Processor 125H ,Intel® Core™ Ultra 9 Processor 185H ,Intel® Core™ Ultra 5 Processor 135H ,Intel® Core™ Ultra 7 Processor 165H ,Intel® Core™ Ultra 7 Processor 155U ,Intel® Core™ Ultra 5 Processor 135U ,Intel® Core™ Ultra 7 Processor 165U ,Intel® Core™ Ultra 5 Processor 125U ,Intel® Core™ Ultra 5 Processor 134U ,Intel® Core™ Ultra 7 Processor 164U ,Intel® Core™ Ultra 3 Processor 105UL ,Intel® Core™ Ultra 5 Processor 125HL ,Intel® Core™ Ultra 5 Processor 125UL ,Intel® Core™ Ultra 5 Processor 135HL ,Intel® Core™ Ultra 5 Processor 135UL ,Intel® Core™ Ultra 7 Processor 155HL ,Intel® Core™ Ultra 7 Processor 155UL ,Intel® Core™ Ultra 7 Processor 165HL ,Intel® Core™ Ultra 7 Processor 165UL ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285T ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 9 Processor 285 ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 7 Processor 265F ,Intel® Core™ Ultra 7 Processor 265T ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K ,Intel® Core™ Ultra 7 Processor 265 ,Intel® Core™ Ultra 5 Processor 225F ,Intel® Core™ Ultra 5 Processor 225 ,Intel® Core™ Ultra 5 Processor 235 ,Intel® Core™ Ultra 9 Processor 285H ,Intel® Core™ Ultra 5 Processor 235H ,Intel® Core™ Ultra 5 Processor 225H ,Intel® Core™ Ultra 7 Processor 265H ,Intel® Core™ Ultra 7 Processor 255H ,Intel® Core™ Ultra 7 Processor 265U ,Intel® Core™ Ultra 7 Processor 255U ,Intel® Core™ Ultra 5 Processor 225U ,Intel® Core™ Ultra 5 Processor 235U ,Intel® Core™ Ultra 5 Processor 225T ,Intel® Core™ Ultra 5 Processor 235T ,Intel® Core™ Ultra 5 Processor 245T ,Intel® Core™ Ultra 5 Processor 245 ,Intel® Core™ Ultra 7 Processor 255HX ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ Ultra X9 processor 378H
# of Efficient-cores,8,8,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,,,,,,,,,,16,16,16,12,12,12,12,8,8,12,4,4,8,8,8,8,8,8,8,8,8,8,4,8,8,8,12,16,12,8,8,16,8,8,8,8,8,8,8,8,4,8,4,12,16,12,0,0,0,0,0,0,12,16,12,8
# of Low Power Efficient-cores,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,0,0,0,4
Total Threads,22,18,22,18,22,14,14,14,14,14,14,10,18,14,18,14,22,14,22,14,8,8,8,8,8,8,8,8,8,24,24,24,20,20,20,20,14,14,20,10,10,14,16,14,14,16,16,14,14,14,14,10,14,14,14,20,24,20,14,14,24,14,14,12,16,16,16,16,16,12,16,12,18,24,18,8,6,6,8,8,8,18,24,20,16
Max Turbo Frequency,4.8 GHz,4.5 GHz,5.1 GHz,4.6 GHz,5 GHz,4.8 GHz,4.4 GHz,4.9 GHz,4.3 GHz,4.4 GHz,4.8 GHz,4.2 GHz,4.5 GHz,4.3 GHz,4.6 GHz,4.4 GHz,4.8 GHz,4.8 GHz,5 GHz,4.9 GHz,4.7 GHz,4.8 GHz,4.5 GHz,5 GHz,4.8 GHz,5 GHz,4.7 GHz,4.5 GHz,5.1 GHz,5.4 GHz,5.7 GHz,5.6 GHz,5.5 GHz,5.5 GHz,5.3 GHz,5.3 GHz,5.2 GHz,5.2 GHz,5.3 GHz,4.9 GHz,4.9 GHz,5 GHz,5.4 GHz,5 GHz,4.9 GHz,5.3 GHz,5.1 GHz,5.3 GHz,5.2 GHz,4.8 GHz,4.9 GHz,4.9 GHz,5 GHz,5.1 GHz,5.1 GHz,5.2 GHz,5.4 GHz,5.3 GHz,5.1 GHz,5.1 GHz,5.5 GHz,5 GHz,5 GHz,4.9 GHz,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,5.3 GHz,5.5 GHz,5.3 GHz,4.8 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.7 GHz,4.6 GHz,5.1 GHz,5.5 GHz,5.3 GHz,5 GHz
Performance-core Max Turbo Frequency,4.8 GHz,4.5 GHz,5.1 GHz,4.6 GHz,5 GHz,4.8 GHz,4.4 GHz,4.9 GHz,4.3 GHz,4.4 GHz,4.8 GHz,4.2 GHz,4.5 GHz,4.3 GHz,4.6 GHz,4.4 GHz,4.8 GHz,4.8 GHz,5 GHz,4.9 GHz,4.7 GHz,4.8 GHz,4.5 GHz,5 GHz,4.8 GHz,5 GHz,4.7 GHz,4.5 GHz,5.1 GHz,5.3 GHz,5.5 GHz,5.4 GHz,5.4 GHz,5.4 GHz,5.2 GHz,5.2 GHz,5.2 GHz,5.2 GHz,5.2 GHz,4.9 GHz,4.9 GHz,5 GHz,5.4 GHz,5 GHz,4.9 GHz,5.3 GHz,5.1 GHz,5.3 GHz,5.2 GHz,4.8 GHz,4.9 GHz,4.9 GHz,5 GHz,5.1 GHz,5.1 GHz,5.2 GHz,5.4 GHz,5.3 GHz,5.1 GHz,5.1 GHz,5.5 GHz,5 GHz,5 GHz,4.9 GHz,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,5.3 GHz,5.4 GHz,5.3 GHz,4.8 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.7 GHz,4.6 GHz,5.1 GHz,5.5 GHz,5.3 GHz,5 GHz
Efficient-core Max Turbo Frequency,3.8 GHz,3.6 GHz,3.8 GHz,3.6 GHz,3.8 GHz,3.8 GHz,3.6 GHz,3.8 GHz,3.6 GHz,3.6 GHz,3.8 GHz,3.5 GHz,3.6 GHz,3.6 GHz,3.6 GHz,3.6 GHz,3.8 GHz,3.8 GHz,3.8 GHz,3.8 GHz,,,,,,,,,,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.4 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.4 GHz,4.3 GHz,4.5 GHz,4.4 GHz,4.2 GHz,4.2 GHz,3.8 GHz,4.1 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.5 GHz,4.5 GHz,4.6 GHz,4.6 GHz,4.5 GHz,4.5 GHz,4.6 GHz,4.4 GHz,4.4 GHz,4.1 GHz,3.8 GHz,3.8 GHz,3.5 GHz,3.7 GHz,3.6 GHz,3.4 GHz,3.5 GHz,3.4 GHz,4.6 GHz,4.7 GHz,4.6 GHz,,,,,,,4.5 GHz,4.7 GHz,4.7 GHz,3.8 GHz
Low Power Efficient-core Max Turbo Frequency,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.5 GHz,2.1 GHz,2.5 GHz,2.1 GHz,2.5 GHz,2.1 GHz,2.5 GHz,2.1 GHz,3.5 GHz,3.7 GHz,3.5 GHz,3.7 GHz,3.7 GHz,3.7 GHz,3.5 GHz,3.5 GHz,3.7 GHz,,,,,,,,,,,,,,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.4 GHz,2.4 GHz,2.4 GHz,2.4 GHz,,,,,,,,,,,,,2.4 GHz,3.6 GHz,3.7 GHz,3.3 GHz,3.5 GHz,3.4 GHz,3.3 GHz,3.3 GHz,3.2 GHz,,,,3.6 GHz,3.3 GHz,3.3 GHz,3.4 GHz,3.5 GHz,3.4 GHz,,,,3.6 GHz
Performance-core Base Frequency,1.4 GHz,1.2 GHz,2.3 GHz,1.7 GHz,1.4 GHz,1.7 GHz,1.6 GHz,1.7 GHz,1.3 GHz,700 MHz,1.1 GHz,1.5 GHz,2.5 GHz,1.3 GHz,1.7 GHz,1.6 GHz,2.4 GHz,1.7 GHz,1.4 GHz,1.7 GHz,2.1 GHz,2.2 GHz,2.1 GHz,2.2 GHz,2.2 GHz,2.2 GHz,2.1 GHz,2.1 GHz,3.3 GHz,1.4 GHz,3.7 GHz,2.5 GHz,3.9 GHz,3.9 GHz,2.4 GHz,1.5 GHz,4.2 GHz,4.2 GHz,2.4 GHz,3.3 GHz,3.3 GHz,3.4 GHz,2.9 GHz,2.4 GHz,1.7 GHz,2.2 GHz,2 GHz,2.1 GHz,2 GHz,1.5 GHz,2 GHz,2.5 GHz,2.2 GHz,2.2 GHz,3.5 GHz,2.4 GHz,2.7 GHz,2.6 GHz,3.1 GHz,2.9 GHz,2.8 GHz,2.2 GHz,3.4 GHz,2.0 GHz,2 GHz,2.1 GHz,1.9 GHz,2.1 GHz,2 GHz,1.9 GHz,1.9 GHz,1.9 GHz,4.2 GHz,3.7 GHz,4.2 GHz,2.4 GHz,2.5 GHz,2.5 GHz,2.1 GHz,2.3 GHz,2.2 GHz,2.9 GHz,2.7 GHz,2.4 GHz,2 GHz
Efficient-core Base Frequency,900 MHz,700 MHz,1.8 GHz,1.2 GHz,900 MHz,1.2 GHz,1.1 GHz,1.2 GHz,800 MHz,500 MHz,700 MHz,1 GHz,700 MHz,800 MHz,1.2 GHz,1.1 GHz,900 MHz,1.2 GHz,900 MHz,1.2 GHz,,,,,,,,,,1.2 GHz,3.2 GHz,1.9 GHz,3.3 GHz,3.3 GHz,1.8 GHz,1.2 GHz,3.6 GHz,3.6 GHz,1.8 GHz,2.7 GHz,2.7 GHz,2.9 GHz,2.7 GHz,1.8 GHz,1.3 GHz,1.7 GHz,1.5 GHz,1.7 GHz,1.7 GHz,1.3 GHz,1.6 GHz,1.9 GHz,1.6 GHz,1.7 GHz,3 GHz,1.8 GHz,2.1 GHz,2.3 GHz,2.6 GHz,2.6 GHz,2.1 GHz,1.6 GHz,2.9 GHz,1.6 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.5 GHz,1.5 GHz,3.3 GHz,3.2 GHz,3.3 GHz,1.8 GHz,1.9 GHz,1.9 GHz,1.6 GHz,1.7 GHz,1.6 GHz,2.5 GHz,1.8 GHz,1.8 GHz,1.6 GHz
Low Power Efficient-core Base Frequency,700 MHz,700 MHz,1 GHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,400 MHz,400 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,2.1 GHz,2.2 GHz,2.1 GHz,2.2 GHz,2.2 GHz,2.2 GHz,2.1 GHz,2.1 GHz,3.3 GHz,,,,,,,,,,,,,,1 GHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,,,,,,,,,,,,,700 MHz,1.6 GHz,1.6 GHz,1.5 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.5 GHz,1.5 GHz,,,,1.8 GHz,1.9 GHz,1.9 GHz,1.6 GHz,1.7 GHz,1.6 GHz,,,,1.6 GHz
Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,18 MB Intel® Smart Cache
Processor Base Power,28 W,28 W,45 W,28 W,28 W,15 W,15 W,15 W,15 W,9 W,9 W,15 W,45 W,15 W,45 W,15 W,45 W,15 W,45 W,15 W,17 W,17 W,17 W,17 W,17 W,17 W,17 W,17 W,30 W,35 W,125 W,65 W,125 W,125 W,65 W,35 W,125 W,125 W,65 W,65 W,65 W,65 W,45 W,28 W,28 W,28 W,28 W,15 W,15 W,15 W,15 W,35 W,35 W,35 W,65 W,55 W,55 W,55 W,55 W,55 W,55 W,35 W,65 W,15 W,25 W,25 W,25 W,25 W,25 W,25 W,25 W,25 W,125 W,125 W,125 W,25 W,25 W,25 W,25 W,25 W,25 W,55 W,55 W,55 W,25 W
Maximum Turbo Power,115 W,115 W,115 W,115 W,115 W,57 W,57 W,57 W,57 W,30 W,30 W,57 W,115 W,57 W,115 W,57 W,115 W,57 W,115 W,57 W,37 W,37 W,37 W,37 W,37 W,37 W,37 W,37 W,37 W,112 W,250 W,182 W,250 W,250 W,182 W,112 W,159 W,159 W,182 W,121 W,121 W,121 W,115 W,115 W,115 W,115 W,115 W,57 W,57 W,57 W,57 W,114 W,114 W,114 W,121 W,160 W,160 W,160 W,160 W,160 W,160 W,114 W,121 W,57 W,80 W,80 W,80 W,80 W,80 W,65 W,80 W,65 W,159 W,250 W,159 W,55 W,55 W,55 W,55 W,55 W,55 W,160 W,160 W,160 W,80 W
