vendor,family,segment,codename,arch,model,model_full,cores,p_cores,e_cores,threads,base_clock,boost_clock,all_core_boost,l2_cache,l3_cache,tdp,tdp_config_up,process,socket,socket_count,pcie_gen,pcie_lanes,mem_type,mem_channels,mem_speed,mem_max_capacity,ecc,cxl,upi_links,igpu_model,igpu_cores,igpu_clock,npu_tops,launch_date,launch_price_usd,part_number,source_url,source_tier,confidence,notes
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9224,AMD EPYC 9224,24,,,48,2.50 GHz,3.70 GHz,,24 MB,64 MB,200W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.newegg.com/amd-epyc-9224-socket-sp5/p/N82E16819113820,3,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9254,AMD EPYC 9254,24,,,48,,,,,128 MB,200W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://cputronic.com/index.php/cpu/amd-epyc-9254,3,medium,Base/boost clock not corroborated from a reliable listing; left blank.
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9274F,AMD EPYC 9274F,24,,,48,4.05 GHz,4.30 GHz,,,256 MB,320W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.topcpu.net/en/cpu/epyc-9274f,3,medium,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9334,AMD EPYC 9334,32,,,64,2.70 GHz,3.90 GHz,,32 MB,128 MB,210W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.newegg.com/amd-epyc-9334-socket-sp5/p/1WK-0184-00047,3,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9354,AMD EPYC 9354,32,,,64,3.25 GHz,3.80 GHz,,,256 MB,280W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.newegg.com/amd-epyc-9354-socket-sp5/p/1WK-0184-00068,3,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9354P,AMD EPYC 9354P,32,,,64,3.25 GHz,3.80 GHz,,,256 MB,280W,,TSMC 5nm,SP5,1,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.newegg.com/amd-epyc-9354p-socket-sp5/p/N82E16819113821,3,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9374F,AMD EPYC 9374F,32,,,64,3.85 GHz,4.30 GHz,,,256 MB,320W,400W,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series/amd-epyc-9374f.html,1,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9454,AMD EPYC 9454,48,,,96,2.75 GHz,3.80 GHz,,,256 MB,290W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.newegg.com/amd-epyc-9454-socket-sp5/p/N82E16819113822,3,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9454P,AMD EPYC 9454P,48,,,96,2.75 GHz,3.80 GHz,,,256 MB,290W,,TSMC 5nm,SP5,1,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series/amd-epyc-9454.html,3,medium,"Single-socket P variant; clocks assumed identical to non-P 9454 per AMD naming convention, not independently confirmed via a P-specific listing."
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9474F,AMD EPYC 9474F,48,,,96,3.60 GHz,4.10 GHz,3.95 GHz,,256 MB,360W,400W,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series/amd-epyc-9474f.html,1,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9534,AMD EPYC 9534,64,,,128,2.45 GHz,3.70 GHz,,,256 MB,280W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://viperatech.com/product/amd-epyc-9534-processor-cpu-64-core-2-45ghz-3-70ghz,3,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9554,AMD EPYC 9554,64,,,128,3.10 GHz,3.75 GHz,,,256 MB,360W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,100-000000790,https://www.newegg.com/amd-epyc-9554-socket-sp5/p/1WK-0184-00052,3,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9554P,AMD EPYC 9554P,64,,,128,3.10 GHz,3.75 GHz,,,256 MB,360W,,TSMC 5nm,SP5,1,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series/amd-epyc-9554.html,3,medium,"Single-socket P variant; exact clocks assumed identical to non-P 9554 per AMD naming convention, not independently confirmed via a P-specific listing."
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9634,AMD EPYC 9634,84,,,168,2.25 GHz,3.70 GHz,,84 MB,384 MB,290W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,100-000000797,https://www.newegg.com/amd-epyc-9634-socket-sp5/p/N82E16819113823,3,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9654,AMD EPYC 9654,96,,,192,2.40 GHz,3.70 GHz,,96 MB,384 MB,360W,400W,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,100-000000789,https://www.newegg.com/amd-epyc-9654-socket-sp5/p/2HE-001Y-000B3,3,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9654P,AMD EPYC 9654P,96,,,192,2.40 GHz,3.70 GHz,,,384 MB,360W,400W,TSMC 5nm,SP5,1,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.newegg.com/amd-epyc-9654p-socket-sp5/p/1WK-0184-000H1,3,high,
AMD,EPYC,datacenter,Genoa-X,Zen 4,EPYC 9184X,AMD EPYC 9184X,16,,,32,3.55 GHz,4.20 GHz,,,768 MB,320W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2023-Q2,4928,,https://www.servethehome.com/three-new-amd-epyc-genoa-x-skus-with-up-to-48mb-l3-cache-per-core-or-1-1gb-total/,3,medium,
AMD,EPYC,datacenter,Genoa-X,Zen 4,EPYC 9384X,AMD EPYC 9384X,32,,,64,3.10 GHz,3.90 GHz,,,768 MB,400W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2023-Q2,5529,,https://www.servethehome.com/three-new-amd-epyc-genoa-x-skus-with-up-to-48mb-l3-cache-per-core-or-1-1gb-total/,3,medium,
AMD,EPYC,datacenter,Genoa-X,Zen 4,EPYC 9684X,AMD EPYC 9684X,96,,,192,2.55 GHz,3.70 GHz,3.42 GHz,96 MB,1152 MB,400W,400W,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2023-Q2,14756,,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series/amd-epyc-9684x.html,1,high,3D V-Cache: 384MB base CCD L3 + 768MB stacked V-Cache = 1152MB total. cTDP configurable down to 320W per STH.
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7203,AMD EPYC 7203,8,,,16,2.80 GHz,3.40 GHz,,,64 MB,120W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,348,,https://wccftech.com/amd-3rd-gen-epyc-milan-cpu-specs-benchmarks-leak-out-up-to-64-cores-280w/,3,medium,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7203P,AMD EPYC 7203P,8,,,16,2.80 GHz,3.40 GHz,,,64 MB,120W,,TSMC 7nm,SP3,1,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,338,,https://wccftech.com/amd-3rd-gen-epyc-milan-cpu-specs-benchmarks-leak-out-up-to-64-cores-280w/,3,medium,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 72F3,AMD EPYC 72F3,8,,,16,3.70 GHz,4.10 GHz,,,256 MB,180W,200W,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.newegg.com/amd-epyc-72f3-socket-sp3/p/N82E16819113691,3,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7303,AMD EPYC 7303,16,,,32,2.40 GHz,3.40 GHz,,,64 MB,130W,150W,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-7303.html,1,medium,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7303P,AMD EPYC 7303P,16,,,32,2.40 GHz,3.40 GHz,,,64 MB,130W,,TSMC 7nm,SP3,1,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-7303p.html,1,medium,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7313,AMD EPYC 7313,16,,,32,3.00 GHz,3.70 GHz,,,128 MB,155W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://en.wikichip.org/wiki/amd/epyc/7313,3,medium,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7313P,AMD EPYC 7313P,16,,,32,3.00 GHz,3.70 GHz,,,128 MB,155W,,TSMC 7nm,SP3,1,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-7313p.html,1,medium,Single-socket P variant; clocks assumed identical to 7313.
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7343,AMD EPYC 7343,16,,,32,3.20 GHz,3.90 GHz,,,128 MB,190W,200W,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.newegg.com/amd-epyc-7343-socket-sp3/p/N82E16819113695,3,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 73F3,AMD EPYC 73F3,16,,,32,3.50 GHz,4.00 GHz,,,256 MB,240W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.newegg.com/amd-epyc-73f3-socket-sp3/p/N82E16819113693,3,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7413,AMD EPYC 7413,24,,,48,2.65 GHz,3.60 GHz,,,128 MB,180W,200W,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.newegg.com/amd-epyc-7413-socket-sp3/p/N82E16819113706,3,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7443,AMD EPYC 7443,24,,,48,2.85 GHz,4.00 GHz,,,128 MB,200W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.newegg.com/AMD-EPYC-7443P-Socket-SP3/p/N82E16819113702,3,medium,Clocks taken from confirmed 7443P (identical non-P sibling); not independently line-item verified for non-P.
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7443P,AMD EPYC 7443P,24,,,48,2.85 GHz,4.00 GHz,,,128 MB,200W,,TSMC 7nm,SP3,1,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.newegg.com/AMD-EPYC-7443P-Socket-SP3/p/N82E16819113702,3,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7453,AMD EPYC 7453,28,,,56,2.75 GHz,3.45 GHz,,,64 MB,225W,240W,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.newegg.com/amd-epyc-7453-socket-sp3/p/N82E16819113708,3,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 74F3,AMD EPYC 74F3,24,,,48,3.20 GHz,4.00 GHz,,,256 MB,240W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.newegg.com/amd-epyc-74f3-socket-sp3/p/N82E16819113701,3,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7513,AMD EPYC 7513,32,,,64,2.60 GHz,3.65 GHz,,,128 MB,200W,200W,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-7513.html,1,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7543,AMD EPYC 7543,32,,,64,2.80 GHz,3.70 GHz,,,256 MB,225W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.tomshardware.com/news/amd-unveils-epyc-milan-7003-cpus-zen-3-comes-to-64-core-server-chips,3,medium,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7543P,AMD EPYC 7543P,32,,,64,2.80 GHz,3.70 GHz,,,256 MB,225W,,TSMC 7nm,SP3,1,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-7543p.html,1,medium,Single-socket P variant; clocks assumed identical to 7543.
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 75F3,AMD EPYC 75F3,32,,,64,2.95 GHz,4.00 GHz,,,256 MB,280W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-75f3.html,1,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7643,AMD EPYC 7643,48,,,96,2.30 GHz,3.60 GHz,,,256 MB,225W,240W,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-7643.html,1,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7643P,AMD EPYC 7643P,48,,,96,2.30 GHz,3.60 GHz,,,256 MB,225W,240W,TSMC 7nm,SP3,1,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-7643p.html,1,medium,Single-socket P variant; clocks assumed identical to 7643.
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7663,AMD EPYC 7663,56,,,112,2.00 GHz,3.50 GHz,,,256 MB,240W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-7663.html,1,high,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7663P,AMD EPYC 7663P,56,,,112,2.00 GHz,3.50 GHz,,,256 MB,240W,,TSMC 7nm,SP3,1,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-7663p.html,1,medium,Single-socket P variant; clocks assumed identical to 7663.
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7713,AMD EPYC 7713,64,,,128,2.00 GHz,3.67 GHz,,,256 MB,225W,240W,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.thomas-krenn.com/en/wiki/AMD_EPYC_7003_Milan,3,medium,
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7713P,AMD EPYC 7713P,64,,,128,2.00 GHz,3.67 GHz,,,256 MB,225W,240W,TSMC 7nm,SP3,1,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,,,https://www.thomas-krenn.com/en/wiki/AMD_EPYC_7003_Milan,3,medium,"Single-socket P variant; clocks assumed identical to 7713 per AMD naming convention, not independently line-item confirmed."
AMD,EPYC,datacenter,Milan,Zen 3,EPYC 7763,AMD EPYC 7763,64,,,128,2.45 GHz,3.50 GHz,,32 MB,256 MB,280W,280W,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2021-Q1,7890,,https://www.amd.com/en/products/processors/server/epyc/7003-series/amd-epyc-7763.html,1,high,
AMD,EPYC,datacenter,Milan-X,Zen 3,EPYC 7373X,AMD EPYC 7373X,16,,,32,3.05 GHz,3.80 GHz,,,768 MB,240W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2022-Q1,,,https://wccftech.com/amd-epyc-7003x-milan-x-cpu-final-specs-prices-leak-flagship-epyc-7773x-1000-us-more-expensive/,3,medium,
AMD,EPYC,datacenter,Milan-X,Zen 3,EPYC 7473X,AMD EPYC 7473X,24,,,48,2.80 GHz,3.70 GHz,,,768 MB,240W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2022-Q1,,,https://wccftech.com/amd-epyc-7003x-milan-x-cpu-final-specs-prices-leak-flagship-epyc-7773x-1000-us-more-expensive/,3,medium,
AMD,EPYC,datacenter,Milan-X,Zen 3,EPYC 7573X,AMD EPYC 7573X,32,,,64,2.80 GHz,3.60 GHz,,,768 MB,280W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2022-Q1,5590,,https://wccftech.com/amd-epyc-7003x-milan-x-cpu-final-specs-prices-leak-flagship-epyc-7773x-1000-us-more-expensive/,3,medium,
AMD,EPYC,datacenter,Milan-X,Zen 3,EPYC 7773X,AMD EPYC 7773X,64,,,128,2.20 GHz,3.50 GHz,,,768 MB,280W,,TSMC 7nm,SP3,2,4.0,128,DDR4,8,DDR4-3200,4 TB,yes,no,,,,,,2022-Q1,8800,,https://www.tomshardware.com/news/amd-launches-milan-x-with-3d-v-cache-epyc-7773x-with-768mb-l3-cache-for-dollar8800,3,medium,3D V-Cache: 256MB base CCD L3 + 512MB stacked V-Cache = 768MB total.
AMD,EPYC,datacenter,Naples,Zen 1,EPYC 7251,AMD EPYC 7251,8,,,16,2.10 GHz,2.90 GHz,,,32 MB,120W,,GlobalFoundries 14nm,SP3,2,3.0,128,DDR4,8,DDR4-2666,2 TB,yes,no,,,,,,2017-Q2,450,,https://www.cpu-monkey.com/en/cpu-amd_epyc_7251,3,high,
AMD,EPYC,datacenter,Naples,Zen 1,EPYC 7261,AMD EPYC 7261,8,,,16,2.50 GHz,2.90 GHz,,,64 MB,170W,,GlobalFoundries 14nm,SP3,2,3.0,128,DDR4,8,DDR4-2666,2 TB,yes,no,,,,,,2017-Q2,,,https://askgeek.io/en/cpus/AMD/EPYC-7261,3,medium,"L3 cache unusually large (64MB) for an 8-core Naples SKU ('L3 cache monster'), confirmed across multiple secondary sources."
AMD,EPYC,datacenter,Naples,Zen 1,EPYC 7281,AMD EPYC 7281,16,,,32,2.10 GHz,2.70 GHz,,,32 MB,170W,,GlobalFoundries 14nm,SP3,2,3.0,128,DDR4,8,DDR4-2666,2 TB,yes,no,,,,,,2017-Q2,625,,https://www.cpu-monkey.com/en/cpu-amd_epyc_7281,3,high,
AMD,EPYC,datacenter,Naples,Zen 1,EPYC 7301,AMD EPYC 7301,16,,,32,2.20 GHz,2.70 GHz,,,64 MB,170W,,GlobalFoundries 14nm,SP3,2,3.0,128,DDR4,8,DDR4-2666,2 TB,yes,no,,,,,,2017-Q2,800,,https://www.cpu-monkey.com/en/cpu-amd_epyc_7301,3,high,
AMD,EPYC,datacenter,Naples,Zen 1,EPYC 7351,AMD EPYC 7351,16,,,32,2.40 GHz,2.90 GHz,,,64 MB,170W,,GlobalFoundries 14nm,SP3,2,3.0,128,DDR4,8,DDR4-2666,2 TB,yes,no,,,,,,2017-Q2,850,,https://www.cpu-monkey.com/en/cpu-amd_epyc_7351,3,high,
