model,field,correct_value,source_url,verdict
Ryzen 9 7945HX3D,base,2.3 GHz,https://www.notebookcheck.net/AMD-Ryzen-9-7945HX3D-Processor-Benchmarks-and-Specs.738915.0.html,new_wrong
Ryzen 5 8640HS,base,3.5 GHz,https://www.amd.com/en/products/processors/laptop/ryzen/8000-series/amd-ryzen-5-8640hs.html,new_wrong
Ryzen 5 PRO 8640HS,base,3.5 GHz,https://www.amd.com/en/products/processors/laptop/ryzen-pro/8000-series/amd-ryzen-5-pro-8640hs.html,new_wrong
Ryzen 5 PRO 8600GE,base,3.9 GHz,https://www.amd.com/en/products/processors/desktops/ryzen-pro/8000-series/amd-ryzen-5-pro-8600ge.html,new_wrong
Ryzen 5 PRO 8605GE,base,3.9 GHz,https://www.amd.com/en/products/processors/desktops/ryzen-pro/8000-series/amd-ryzen-5-pro-8605ge.html,new_wrong
Ryzen 5 PRO 220,base,3.2 GHz,https://www.amd.com/en/products/processors/laptop/ryzen-pro/200-series/amd-ryzen-5-pro-220.html,new_wrong
Ryzen 3 210,base,3.0 GHz,https://www.amd.com/en/products/processors/laptop/ryzen/200-series/amd-ryzen-3-210.html,new_wrong
Ryzen Z1,base,3.2 GHz,https://www.amd.com/en/products/processors/handhelds/ryzen-z-series/z1-series/z1.html,new_wrong
Athlon 320GE,base,3.5 GHz,https://www.cpu-world.com/CPUs/Zen/AMD-Athlon%20320GE.html,new_wrong
EPYC 7282,base,2.8 GHz,https://www.amd.com/content/dam/amd/en/documents/products/epyc/amd-epyc-7002-series-datasheet.pdf,new_wrong
EPYC 7302,base,3.0 GHz,https://www.amd.com/en/products/cpu/amd-epyc-7302,new_wrong
EPYC 7272,base,2.9 GHz,https://www.amd.com/en/support/downloads/drivers.html/processors/epyc/epyc-7002-series/amd-epyc-7272.html,new_wrong
EPYC 7252,base,3.1 GHz,https://www.amd.com/en/support/downloads/drivers.html/processors/epyc/epyc-7002-series/amd-epyc-7252.html,new_wrong
Ryzen 7 4800HS,tdp,45W,https://www.amd.com/en/products/specifications/processors.html,withdrawn_dashboard_was_right
