shard,model,field,why_missing,what_i_tried
amd-epyc,EPYC 7203P,launch_price_usd/source_tier,Same as 7203 - only WCCFTech tier-3 corroboration found.,Searched Newegg and AMD site; not found.
amd-epyc,EPYC 7773X,boost_clock,"Source conflict: an early leak/rumor site cited 4.5 GHz boost, but corroborated figure repeated across Tom's Hardware, Phoronix, and AMD launch coverage is 3.5 GHz. Used 3.5 GHz (majority/authoritative sources), confidence set to medium and documented in notes.md.","Cross-checked Tom's Hardware, WCCFTech, and Phoronix Milan-X launch coverage; 3.5GHz was consistent across the majority tier-2/3 sources."
amd-epyc,Milan-X (all 4 SKUs),source_tier,"No AMD.com product pages located for Milan-X X-series parts (7773X/7573X/7473X/7373X); relying on tier-3 press coverage (Tom's Hardware, WCCFTech) for all fields.","Searched amd.com directly for 7003X series product pages; not found/indexed, likely delisted after EOL."
amd-epyc,EPYC 7702,base_clock/boost_clock/tdp,Non-P SKU values inferred from confirmed 7702P sibling; not independently re-verified for non-P part number.,Searched AMD product page and Thomas-Krenn wiki; found 7702P listing readily but not a distinct standalone 7702 datasheet.
amd-epyc,EPYC 7502,cores/l3_cache,Source conflict: one aggregated search-summary table row incorrectly attributed 64-core/256MB figures to 7502/7502P (likely conflated with 7702P in a scraped table); resolved using WikiChip/cpu-world/ServeTheHome corroborated value of 32C/128MB.,"Cross-checked WikiChip and ServeTheHome review; both agree on 32 cores/128MB L3, used that."
amd-epyc,EPYC 7642/7552/7542/7452/7402/7352/7302/7282/7272/7262/7252,source_tier,Only tier-3 corroboration (Thomas-Krenn wiki) found for these mid/low-tier Rome SKUs; no AMD.com product page located for several legacy Rome SKUs.,Searched amd.com directly for each model number; most legacy non-flagship Rome SKUs no longer have indexed individual product pages.
amd-epyc,EPYC 7532,launch_date,"Launch price found ($2,380) but exact launch quarter not explicitly stated; used generic Rome family launch date (2019-Q3).",Searched WikiChip and Toms Hardware launch coverage; found pricing but not an explicit SKU-specific launch date.
amd-epyc,EPYC 7H12,launch_price_usd/part_number,HPC-only specially-binned SKU not sold through standard retail/distribution channels; no public list price or part number found.,"Searched ServeTheHome, WCCFTech, WikiChip; all describe it as supercomputer/HPC-exclusive with no public pricing."
amd-epyc,EPYC 7371,tdp,"Conflicting TDP reports: ServeTheHome cites 170W as AMD spec, but some retail listings show 200W. Used 170W, confidence medium.",Cross-checked ServeTheHome launch article against retail listings; documented discrepancy in notes.md.
amd-epyc,EPYC 9996,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP7 family was announced at Advancing AI 2026 (July 22-23) with only family-level aggregate claims (up to 256 cores/512T flagship, ~5GHz boost, PCIe Gen 6, family TDP range ~700-1400W) reported by secondary tech-news sites, not an AMD product page or datasheet per SKU. No tier-1/2 s","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9966,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP7 family was announced at Advancing AI 2026 (July 22-23) with only family-level aggregate claims (up to 256 cores/512T flagship, ~5GHz boost, PCIe Gen 6, family TDP range ~700-1400W) reported by secondary tech-news sites, not an AMD product page or datasheet per SKU. No tier-1/2 s","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9846,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP7 family was announced at Advancing AI 2026 (July 22-23) with only family-level aggregate claims (up to 256 cores/512T flagship, ~5GHz boost, PCIe Gen 6, family TDP range ~700-1400W) reported by secondary tech-news sites, not an AMD product page or datasheet per SKU. No tier-1/2 s","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9756,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP7 family was announced at Advancing AI 2026 (July 22-23) with only family-level aggregate claims (up to 256 cores/512T flagship, ~5GHz boost, PCIe Gen 6, family TDP range ~700-1400W) reported by secondary tech-news sites, not an AMD product page or datasheet per SKU. No tier-1/2 s","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9G76,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP7 family was announced at Advancing AI 2026 (July 22-23) with only family-level aggregate claims (up to 256 cores/512T flagship, ~5GHz boost, PCIe Gen 6, family TDP range ~700-1400W) reported by secondary tech-news sites, not an AMD product page or datasheet per SKU. No tier-1/2 s","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9656,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP7 family was announced at Advancing AI 2026 (July 22-23) with only family-level aggregate claims (up to 256 cores/512T flagship, ~5GHz boost, PCIe Gen 6, family TDP range ~700-1400W) reported by secondary tech-news sites, not an AMD product page or datasheet per SKU. No tier-1/2 s","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9686F,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP7 family was announced at Advancing AI 2026 (July 22-23) with only family-level aggregate claims (up to 256 cores/512T flagship, ~5GHz boost, PCIe Gen 6, family TDP range ~700-1400W) reported by secondary tech-news sites, not an AMD product page or datasheet per SKU. No tier-1/2 s","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9556,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP7 family was announced at Advancing AI 2026 (July 22-23) with only family-level aggregate claims (up to 256 cores/512T flagship, ~5GHz boost, PCIe Gen 6, family TDP range ~700-1400W) reported by secondary tech-news sites, not an AMD product page or datasheet per SKU. No tier-1/2 s","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9586F,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP7 family was announced at Advancing AI 2026 (July 22-23) with only family-level aggregate claims (up to 256 cores/512T flagship, ~5GHz boost, PCIe Gen 6, family TDP range ~700-1400W) reported by secondary tech-news sites, not an AMD product page or datasheet per SKU. No tier-1/2 s","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9746,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9736P,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9736,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9676F,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9646P,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9646,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9576F,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9536P,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9536,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9526,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9476F,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9456P,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9456,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9376F,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9356P,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9356,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9336,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9276F,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9256,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9176F,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9116,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-epyc,EPYC 9016,"cores,threads,base_clock,boost_clock,l3_cache,tdp,mem_channels,mem_speed,launch_price_usd,part_number","Venice/EPYC 9006 SP8 family (edge/general-purpose, 8-128 core range) was announced alongside SP7 but ships in 2027; no per-SKU AMD product page or datasheet exists yet. No tier-1/2 source gives this specific model number its own confirmed core count, clock, cache, or TDP.","Searched AMD.com for a Venice/9006-series product page (none indexed yet); searched TechPowerUp, WCCFTech, ServeTheHome, and general tech press for per-SKU breakdowns of individual model numbers; only found family/flagship-level aggregate figures, no confirmed table mapping each of these specific pa"
amd-gpu-a,RX 9060,cores,No dedicated AMD tier-1 product page found for non-XT RX 9060 at research time,WebSearch for amd.com RX 9060 page; only found XT/LP/8GB variants indexed
amd-gpu-a,RX 9060,boost_clock,Same as above,Same as above
amd-gpu-a,RX 9060,tdp,Same as above,Same as above
amd-gpu-a,RX 9060,mem_speed,Same as above,Same as above
amd-gpu-a,RX 9060,source_tier,"No tier-1 source located; row filled from architectural inference only (Navi 44 cut-down pattern), flagged low confidence",WebSearch amd.com + TechPowerUp; not found
amd-gpu-a,RX 6650M XT,boost_clock,No tier-1/reliable tier-3 source with exact clock found,WebSearch multiple queries; only die/transistor info surfaced
amd-gpu-a,RX 6500M,mem_speed,Bandwidth not stated in sources found,WebSearch Notebookcheck comparison page
amd-gpu-a,RX 6450M,boost_clock,Not confirmed in sources found,WebSearch Notebookcheck comparison page
amd-gpu-a,RX 6450M,mem_speed,Not confirmed in sources found,WebSearch Notebookcheck comparison page
amd-gpu-a,RX 6300M,tdp,No TGP figure found in available sources,WebSearch Notebookcheck comparison page
amd-gpu-a,RX 6300M,mem_speed,Not confirmed in sources found,WebSearch Notebookcheck comparison page
amd-gpu-a,RX 6550S,tdp,No TGP figure found in available sources,WebSearch Notebookcheck spec page
amd-gpu-a,RX 6550S,boost_clock,Not confirmed in sources found,WebSearch Notebookcheck spec page
amd-gpu-a,RX 6550S,mem_speed,Not confirmed in sources found,WebSearch Notebookcheck spec page
amd-gpu-a,RX 6550S,mem_max_capacity,"VRAM capacity not confirmed; assumed 4GB based on Navi24 family pattern, flagged low confidence",WebSearch Notebookcheck spec page
amd-gpu-a,PRO W6500M,cores,"No tier-1 AMD spec page found; CU count inferred from Navi23 cut-down pattern, not independently confirmed",WebSearch amd.com + press coverage
amd-gpu-a,PRO W6500M,boost_clock,Not found in sources,WebSearch
amd-gpu-a,PRO W6500M,tdp,Not found in sources,WebSearch
amd-gpu-a,PRO W6300M,tdp,Not found in sources,WebSearch
